generation_id,status,character_name,character_slug,scene_no,scene_slug,checkpoint,loras,seed,steps,cfg,sampler,scheduler,clip_skip,resolution,prompt,negative_prompt,notes,source_id
70f299f7-ad2b-4e27-b248-84f3fabb8627,queued,Mireya Solis,mireya_solis,1,bathroom_mirror_skincare,waiIllustriousSDXL_v160.safetensors,"[{""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.66, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.46, ""category"": ""eyes""}]",31919901,30,5.2,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, high-response beauty editorial, non-graphic adult allure, platform-friendly desirability, refined facial features, luminous skin, strong eye contact, cinematic lifestyle photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, bathroom mirror skincare moment, satin robe tied at the waist, damp hair, glossy sink reflections, fresh skin focus, intimate home luxury","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_freeform_highresponse_newwomen_20260319_v1 | Mireya Solis | scene 01 | bathroom_mirror_skincare,hf_queuecreator_freeform_highresponse_newwomen_20260319_v1:mireya_solis:01
9a1db0e8-fb4e-482c-9a06-b6897d28a97b,queued,Mireya Solis,mireya_solis,2,rumpled_bed_oversized_tee,waiIllustriousSDXL_v160.safetensors,"[{""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.64, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.36, ""category"": ""style""}]",31919902,30,5.25,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, high-response beauty editorial, non-graphic adult allure, platform-friendly desirability, refined facial features, luminous skin, strong eye contact, cinematic lifestyle photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, sitting on a rumpled bed in an oversized tee and fitted shorts, one knee raised, tousled hair, morning window glow, candid cover-image energy","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_freeform_highresponse_newwomen_20260319_v1 | Mireya Solis | scene 02 | rumpled_bed_oversized_tee,hf_queuecreator_freeform_highresponse_newwomen_20260319_v1:mireya_solis:02
d600873d-f06e-45df-bcdd-b0c394987470,queued,Mireya Solis,mireya_solis,3,fridge_light_midnight,waiIllustriousSDXL_v160.safetensors,"[{""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.47, ""category"": ""eyes""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.34, ""category"": ""style""}]",31919903,31,5.3,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, high-response beauty editorial, non-graphic adult allure, platform-friendly desirability, refined facial features, luminous skin, strong eye contact, cinematic lifestyle photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, fridge light at midnight, fitted crop top with lounge shorts, one hand on the refrigerator door, dark kitchen contrast, effortless late-night appeal","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_freeform_highresponse_newwomen_20260319_v1 | Mireya Solis | scene 03 | fridge_light_midnight,hf_queuecreator_freeform_highresponse_newwomen_20260319_v1:mireya_solis:03
6b7bb5e6-0e8a-4598-b4d4-c1da697129e6,queued,Mireya Solis,mireya_solis,4,passenger_seat_takeout,animayhemPaleRider_v2TrueGrit.safetensors,"[{""filename"": ""GEN(illust) 0.2v.safetensors"", ""strength"": 0.54, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.44, ""category"": ""eyes""}]",31919904,32,5.35,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, high-response beauty editorial, non-graphic adult allure, platform-friendly desirability, refined facial features, luminous skin, strong eye contact, cinematic lifestyle photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, late-night passenger seat with takeout fries, trench draped over a fitted mini dress, dashboard glow, city bokeh outside, playful sideways glance","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_freeform_highresponse_newwomen_20260319_v1 | Mireya Solis | scene 04 | passenger_seat_takeout,hf_queuecreator_freeform_highresponse_newwomen_20260319_v1:mireya_solis:04
a7a188a7-853a-4d00-b105-2d016118bf21,queued,Mireya Solis,mireya_solis,5,window_seat_headphones,animayhemPaleRider_v2TrueGrit.safetensors,"[{""filename"": ""GEN(illust) 0.2v.safetensors"", ""strength"": 0.55, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.34, ""category"": ""style""}]",31919905,32,5.4,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, high-response beauty editorial, non-graphic adult allure, platform-friendly desirability, refined facial features, luminous skin, strong eye contact, cinematic lifestyle photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, window seat with headphones, oversized shirt over bike shorts, knees drawn up, afternoon sun stripes, soft introspective mood, strong thumbnail appeal","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_freeform_highresponse_newwomen_20260319_v1 | Mireya Solis | scene 05 | window_seat_headphones,hf_queuecreator_freeform_highresponse_newwomen_20260319_v1:mireya_solis:05
e7ecd11c-37a8-4a7f-89e1-b697af0df15a,queued,Mireya Solis,mireya_solis,6,stairwell_hoodie,animayhemPaleRider_v2TrueGrit.safetensors,"[{""filename"": ""GEN(illust) 0.2v.safetensors"", ""strength"": 0.52, ""category"": ""style""}, {""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.44, ""category"": ""style""}]",31919906,33,5.45,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, high-response beauty editorial, non-graphic adult allure, platform-friendly desirability, refined facial features, luminous skin, strong eye contact, cinematic lifestyle photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, stairwell pause in an oversized hoodie and biker shorts, one hand on the railing, urban apartment lighting, sporty sensuality, low-angle framing","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_freeform_highresponse_newwomen_20260319_v1 | Mireya Solis | scene 06 | stairwell_hoodie,hf_queuecreator_freeform_highresponse_newwomen_20260319_v1:mireya_solis:06
089a295c-bf50-449c-9892-b65a68b3bae0,queued,Mireya Solis,mireya_solis,7,rooftop_sunglasses,prefectIllustriousXL_v70.safetensors,"[{""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.6, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.45, ""category"": ""eyes""}]",31919907,30,5.3,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, high-response beauty editorial, non-graphic adult allure, platform-friendly desirability, refined facial features, luminous skin, strong eye contact, cinematic lifestyle photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, rooftop sunset in a fitted tank dress and sunglasses, wind lifting the hair, hand at the hip, skyline shimmer, confident social-media glamour","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_freeform_highresponse_newwomen_20260319_v1 | Mireya Solis | scene 07 | rooftop_sunglasses,hf_queuecreator_freeform_highresponse_newwomen_20260319_v1:mireya_solis:07
8079d778-2371-4d3f-bbba-7a861141bb8b,queued,Mireya Solis,mireya_solis,8,laundromat_glance,prefectIllustriousXL_v70.safetensors,"[{""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.58, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.38, ""category"": ""style""}]",31919908,31,5.35,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, high-response beauty editorial, non-graphic adult allure, platform-friendly desirability, refined facial features, luminous skin, strong eye contact, cinematic lifestyle photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, looking back over the shoulder in a laundromat, cropped knit top and denim, chrome machines, fluorescent glam, quietly provocative everyday scene","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_freeform_highresponse_newwomen_20260319_v1 | Mireya Solis | scene 08 | laundromat_glance,hf_queuecreator_freeform_highresponse_newwomen_20260319_v1:mireya_solis:08
b67ac643-2c3e-4527-9c93-56d2cc137f59,queued,Mireya Solis,mireya_solis,9,vinyl_floor_pose,prefectIllustriousXL_v70.safetensors,"[{""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.45, ""category"": ""eyes""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.36, ""category"": ""style""}]",31919909,31,5.4,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, high-response beauty editorial, non-graphic adult allure, platform-friendly desirability, refined facial features, luminous skin, strong eye contact, cinematic lifestyle photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, cross-legged by a vinyl player, oversized sweater slipping off one shoulder, bare legs folded on the floor, warm lamp light, high-affinity home aesthetic","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_freeform_highresponse_newwomen_20260319_v1 | Mireya Solis | scene 09 | vinyl_floor_pose,hf_queuecreator_freeform_highresponse_newwomen_20260319_v1:mireya_solis:09
a1450370-6464-4050-ba61-403c6e686b98,queued,Mireya Solis,mireya_solis,10,bookstore_floor_stack,hassakuXLIllustrious_v34.safetensors,"[{""filename"": ""Okaze.safetensors"", ""strength"": 0.5, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.43, ""category"": ""eyes""}]",31919910,33,5.45,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, high-response beauty editorial, non-graphic adult allure, platform-friendly desirability, refined facial features, luminous skin, strong eye contact, cinematic lifestyle photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, sitting on a bookstore floor beside stacked magazines, fitted tee and skirt, one ankle tucked in, eye contact over a book cover, quiet but magnetic mood","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_freeform_highresponse_newwomen_20260319_v1 | Mireya Solis | scene 10 | bookstore_floor_stack,hf_queuecreator_freeform_highresponse_newwomen_20260319_v1:mireya_solis:10
13dceb47-67c6-4d9e-97c4-642890b5b358,queued,Mireya Solis,mireya_solis,11,freezer_aisle_after_rain,hassakuXLIllustrious_v34.safetensors,"[{""filename"": ""Okaze.safetensors"", ""strength"": 0.52, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.35, ""category"": ""style""}]",31919911,33,5.5,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, high-response beauty editorial, non-graphic adult allure, platform-friendly desirability, refined facial features, luminous skin, strong eye contact, cinematic lifestyle photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, freezer aisle after rain, wet hair ends, fitted top under an open jacket, basket in hand, cool fluorescent light, moody city-girl appeal","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_freeform_highresponse_newwomen_20260319_v1 | Mireya Solis | scene 11 | freezer_aisle_after_rain,hf_queuecreator_freeform_highresponse_newwomen_20260319_v1:mireya_solis:11
