generation_id,status,character_name,character_slug,scene_no,scene_slug,checkpoint,loras,seed,steps,cfg,sampler,scheduler,clip_skip,resolution,prompt,negative_prompt,notes,source_id
21c3342b-ec7d-4a3a-9035-a81030a7ee5c,queued,Mireya Solis,mireya_solis,1,velvet_chaise_portrait,waiIllustriousSDXL_v160.safetensors,"[{""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.68, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.48, ""category"": ""eyes""}]",31818101,30,5.2,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, sensual editorial glamour, tasteful adult allure, refined facial features, luminous skin, confident gaze, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, luxury editorial glamour, velvet chaise portrait, fitted satin slip dress, direct eye contact, soft key light, polished hotel suite ambiance","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, cropped face, duplicate, poorly drawn hands",hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2 | Mireya Solis | scene 01 | velvet_chaise_portrait,hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2:mireya_solis:01
7d1b7f97-13b8-4229-9b46-56cb91bfd1c1,queued,Mireya Solis,mireya_solis,2,balcony_citylights,waiIllustriousSDXL_v160.safetensors,"[{""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.66, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.38, ""category"": ""style""}]",31818102,30,5.25,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, sensual editorial glamour, tasteful adult allure, refined facial features, luminous skin, confident gaze, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, balcony doorway framing, city lights behind, silk evening dress, one hand on the doorframe, cinematic night glow, controlled elegance","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, cropped face, duplicate, poorly drawn hands",hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2 | Mireya Solis | scene 02 | balcony_citylights,hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2:mireya_solis:02
e9fb67af-e850-4f29-8399-76f6c8e01fc7,queued,Mireya Solis,mireya_solis,3,mirror_half_turn,animayhemPaleRider_v2TrueGrit.safetensors,"[{""filename"": ""GEN(illust) 0.2v.safetensors"", ""strength"": 0.54, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.45, ""category"": ""eyes""}]",31818103,32,5.35,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, sensual editorial glamour, tasteful adult allure, refined facial features, luminous skin, confident gaze, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, mirror-side standing pose, one shoulder turned toward camera, tailored black dress, reflective vanity surface, beauty-first styling, clean lines","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, cropped face, duplicate, poorly drawn hands",hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2 | Mireya Solis | scene 03 | mirror_half_turn,hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2:mireya_solis:03
e2258187-d51e-47b1-8957-3ebb3f61f073,queued,Mireya Solis,mireya_solis,4,champagne_bar_corner,animayhemPaleRider_v2TrueGrit.safetensors,"[{""filename"": ""GEN(illust) 0.2v.safetensors"", ""strength"": 0.56, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.35, ""category"": ""style""}]",31818104,32,5.4,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, sensual editorial glamour, tasteful adult allure, refined facial features, luminous skin, confident gaze, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, lounge bar corner, champagne table styling, crossed legs, glossy heels, low amber light, after-hours allure, premium editorial framing","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, cropped face, duplicate, poorly drawn hands",hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2 | Mireya Solis | scene 04 | champagne_bar_corner,hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2:mireya_solis:04
19d4332f-8227-41eb-bb62-032235250bd1,queued,Mireya Solis,mireya_solis,5,window_light_silhouette,prefectIllustriousXL_v70.safetensors,"[{""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.6, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.46, ""category"": ""eyes""}]",31818105,30,5.25,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, sensual editorial glamour, tasteful adult allure, refined facial features, luminous skin, confident gaze, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, window light silhouette, ivory robe-inspired eveningwear, elegant hand placement, upscale suite depth, subtle rim light, alluring restraint","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, cropped face, duplicate, poorly drawn hands",hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2 | Mireya Solis | scene 05 | window_light_silhouette,hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2:mireya_solis:05
c4b27c27-7c6e-45d7-93d5-fb7b79bc82df,queued,Mireya Solis,mireya_solis,6,staircase_gown,prefectIllustriousXL_v70.safetensors,"[{""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.62, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.4, ""category"": ""style""}]",31818106,31,5.35,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, sensual editorial glamour, tasteful adult allure, refined facial features, luminous skin, confident gaze, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, penthouse staircase, draped evening gown, trailing fabric, chin raised, polished marble interior, luxury magazine cover energy","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, cropped face, duplicate, poorly drawn hands",hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2 | Mireya Solis | scene 06 | staircase_gown,hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2:mireya_solis:06
dc7d2000-66b1-4c28-b7ad-78ec8cf1e38a,queued,Mireya Solis,mireya_solis,7,vanity_glam_room,hassakuXLIllustrious_v34.safetensors,"[{""filename"": ""Okaze.safetensors"", ""strength"": 0.5, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.44, ""category"": ""eyes""}]",31818107,33,5.45,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, sensual editorial glamour, tasteful adult allure, refined facial features, luminous skin, confident gaze, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, backstage vanity mirror, makeup bulbs, satin camisole dress, poised half-turn, beauty close-up, jewelry sparkle, celebrity dressing-room mood","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, cropped face, duplicate, poorly drawn hands",hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2 | Mireya Solis | scene 07 | vanity_glam_room,hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2:mireya_solis:07
65e7924d-9aa7-4310-883c-0c99736d0703,queued,Mireya Solis,mireya_solis,8,rain_glass_reflection,hassakuXLIllustrious_v34.safetensors,"[{""filename"": ""Okaze.safetensors"", ""strength"": 0.52, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.35, ""category"": ""style""}]",31818108,33,5.5,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, sensual editorial glamour, tasteful adult allure, refined facial features, luminous skin, confident gaze, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, rain-streaked window backdrop, black silk dress, moody reflection, side profile, glossy lips, intimate city-night atmosphere","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, cropped face, duplicate, poorly drawn hands",hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2 | Mireya Solis | scene 08 | rain_glass_reflection,hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2:mireya_solis:08
8cf35cee-8d29-474c-99ff-41847e9dfe64,queued,Mireya Solis,mireya_solis,9,rooftop_afterhours,waiIllustriousSDXL_v140.safetensors,"[{""filename"": ""96YOTTEA-WAI.safetensors"", ""strength"": 0.52, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.42, ""category"": ""eyes""}]",31818109,34,5.5,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, sensual editorial glamour, tasteful adult allure, refined facial features, luminous skin, confident gaze, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, rooftop after-hours editorial, long coat drape over a fitted dress, wind-swept hair, skyline haze, confident stance, midnight fashion energy","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, cropped face, duplicate, poorly drawn hands",hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2 | Mireya Solis | scene 09 | rooftop_afterhours,hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2:mireya_solis:09
64cfdd89-dd44-4ee2-a10c-e27224565b5e,queued,Mireya Solis,mireya_solis,10,satin_sofa_gloves,waiIllustriousSDXL_v140.safetensors,"[{""filename"": ""96YOTTEA-WAI.safetensors"", ""strength"": 0.5, ""category"": ""style""}, {""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.54, ""category"": ""style""}]",31818110,34,5.55,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, sensual editorial glamour, tasteful adult allure, refined facial features, luminous skin, confident gaze, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, satin sofa editorial, opera gloves, one leg folded, warm lamp glow, composed allure, premium fashion campaign look","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, cropped face, duplicate, poorly drawn hands",hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2 | Mireya Solis | scene 10 | satin_sofa_gloves,hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2:mireya_solis:10
99da703c-ed6b-4648-91e4-6cff31f3e003,queued,Mireya Solis,mireya_solis,11,library_ladder,akiumLumenILLBase_baseV2.safetensors,"[{""filename"": ""Seet_il5-000009.safetensors"", ""strength"": 0.45, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.36, ""category"": ""style""}]",31818111,35,5.55,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, sensual editorial glamour, tasteful adult allure, refined facial features, luminous skin, confident gaze, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, dark library ladder, tailored dress with stockings, hand on the rail, polished wood interior, intelligent glamour, cinematic hush","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, cropped face, duplicate, poorly drawn hands",hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2 | Mireya Solis | scene 11 | library_ladder,hf_queuecreator_safe_favorite_informed_newwomen_20260318_v2:mireya_solis:11
