generation_id,status,character_name,character_slug,scene_no,scene_slug,checkpoint,loras,seed,steps,cfg,sampler,scheduler,clip_skip,resolution,prompt,negative_prompt,notes,source_id
8d3648f0-2f94-4d02-9da3-e72687230d4f,queued,Mireya Solis,mireya_solis,1,morning_kitchen_coffee,waiIllustriousSDXL_v160.safetensors,"[{""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.66, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.46, ""category"": ""eyes""}]",31919101,30,5.2,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, everyday sensual editorial, tasteful adult allure, non-graphic sensuality, refined facial features, luminous skin, casual lifestyle glamour, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, morning kitchen light, oversized white button-down over fitted lounge shorts, coffee mug in hand, bare feet on tile, sleepy confidence, sunlit counter scene","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_daily_allure_newwomen_20260319_v1 | Mireya Solis | scene 01 | morning_kitchen_coffee,hf_queuecreator_daily_allure_newwomen_20260319_v1:mireya_solis:01
0e8039ae-e73b-4fda-a989-f807f44d906c,queued,Mireya Solis,mireya_solis,2,sofa_paperback_reading,waiIllustriousSDXL_v160.safetensors,"[{""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.64, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.36, ""category"": ""style""}]",31919102,30,5.25,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, everyday sensual editorial, tasteful adult allure, non-graphic sensuality, refined facial features, luminous skin, casual lifestyle glamour, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, apartment sofa reading a paperback, off-shoulder knit dress, legs tucked to one side, soft afternoon light, intimate home calm, candid beauty","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_daily_allure_newwomen_20260319_v1 | Mireya Solis | scene 02 | sofa_paperback_reading,hf_queuecreator_daily_allure_newwomen_20260319_v1:mireya_solis:02
a42a2e62-2170-4c64-8836-885edeac9391,queued,Mireya Solis,mireya_solis,3,balcony_plants,waiIllustriousSDXL_v160.safetensors,"[{""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.47, ""category"": ""eyes""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.34, ""category"": ""style""}]",31919103,31,5.3,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, everyday sensual editorial, tasteful adult allure, non-graphic sensuality, refined facial features, luminous skin, casual lifestyle glamour, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, watering balcony plants, fitted ribbed tank top and linen shorts, city morning breeze, side profile, casual midriff styling, everyday elegance","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_daily_allure_newwomen_20260319_v1 | Mireya Solis | scene 03 | balcony_plants,hf_queuecreator_daily_allure_newwomen_20260319_v1:mireya_solis:03
83bb3e2c-2f1f-41f0-8242-3a771946c381,queued,Mireya Solis,mireya_solis,4,bookstore_aisle,animayhemPaleRider_v2TrueGrit.safetensors,"[{""filename"": ""GEN(illust) 0.2v.safetensors"", ""strength"": 0.54, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.44, ""category"": ""eyes""}]",31919104,32,5.35,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, everyday sensual editorial, tasteful adult allure, non-graphic sensuality, refined facial features, luminous skin, casual lifestyle glamour, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, bookstore aisle browse, tucked silk blouse and fitted skirt, one hand on a shelf, intelligent gaze, warm interior lighting, spontaneous street-style allure","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_daily_allure_newwomen_20260319_v1 | Mireya Solis | scene 04 | bookstore_aisle,hf_queuecreator_daily_allure_newwomen_20260319_v1:mireya_solis:04
c2467d80-9c13-499b-8db7-846708d620fb,queued,Mireya Solis,mireya_solis,5,laundromat_wait,animayhemPaleRider_v2TrueGrit.safetensors,"[{""filename"": ""GEN(illust) 0.2v.safetensors"", ""strength"": 0.55, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.34, ""category"": ""style""}]",31919105,32,5.4,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, everyday sensual editorial, tasteful adult allure, non-graphic sensuality, refined facial features, luminous skin, casual lifestyle glamour, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, late-night laundromat wait, cropped cardigan over a sleek camisole, denim silhouette, leaning on a washer, fluorescent glow made cinematic, quiet sensuality","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_daily_allure_newwomen_20260319_v1 | Mireya Solis | scene 05 | laundromat_wait,hf_queuecreator_daily_allure_newwomen_20260319_v1:mireya_solis:05
9c317fdc-9f16-443c-a32a-007913bbfbfa,queued,Mireya Solis,mireya_solis,6,convenience_store_run,animayhemPaleRider_v2TrueGrit.safetensors,"[{""filename"": ""GEN(illust) 0.2v.safetensors"", ""strength"": 0.52, ""category"": ""style""}, {""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.44, ""category"": ""style""}]",31919106,33,5.45,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, everyday sensual editorial, tasteful adult allure, non-graphic sensuality, refined facial features, luminous skin, casual lifestyle glamour, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, late-night convenience store run, hoodie over a fitted mini dress, one hand holding a drink bottle, aisle neon, relaxed confidence, everyday nightlife appeal","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_daily_allure_newwomen_20260319_v1 | Mireya Solis | scene 06 | convenience_store_run,hf_queuecreator_daily_allure_newwomen_20260319_v1:mireya_solis:06
521d0404-7fd4-4b95-966e-f8b14d83989a,queued,Mireya Solis,mireya_solis,7,taxi_window,prefectIllustriousXL_v70.safetensors,"[{""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.6, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.45, ""category"": ""eyes""}]",31919107,30,5.3,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, everyday sensual editorial, tasteful adult allure, non-graphic sensuality, refined facial features, luminous skin, casual lifestyle glamour, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, night taxi passenger seat, trench coat over a satin camisole top, rain on the window, city reflections, thoughtful sideways glance, intimate commute mood","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_daily_allure_newwomen_20260319_v1 | Mireya Solis | scene 07 | taxi_window,hf_queuecreator_daily_allure_newwomen_20260319_v1:mireya_solis:07
8a9cffac-79ee-4299-acc6-47aa6e0d72ab,queued,Mireya Solis,mireya_solis,8,home_office_stretch,prefectIllustriousXL_v70.safetensors,"[{""filename"": ""incase_new_style_red_ill.safetensors"", ""strength"": 0.58, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.38, ""category"": ""style""}]",31919108,31,5.35,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, everyday sensual editorial, tasteful adult allure, non-graphic sensuality, refined facial features, luminous skin, casual lifestyle glamour, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, home office desk stretch, crisp shirt loosely unbuttoned at the collar, tailored shorts, glasses on the desk, crossed legs, late-afternoon laptop glow","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_daily_allure_newwomen_20260319_v1 | Mireya Solis | scene 08 | home_office_stretch,hf_queuecreator_daily_allure_newwomen_20260319_v1:mireya_solis:08
ab410213-7da9-43d7-912e-fa4667aebc7b,queued,Mireya Solis,mireya_solis,9,after_gym_athleisure,prefectIllustriousXL_v70.safetensors,"[{""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.45, ""category"": ""eyes""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.36, ""category"": ""style""}]",31919109,31,5.4,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, everyday sensual editorial, tasteful adult allure, non-graphic sensuality, refined facial features, luminous skin, casual lifestyle glamour, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, after-gym athleisure, cropped zip jacket over a sleek sports top, high-waisted leggings, gym bag over one shoulder, post-workout glow, candid confidence","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_daily_allure_newwomen_20260319_v1 | Mireya Solis | scene 09 | after_gym_athleisure,hf_queuecreator_daily_allure_newwomen_20260319_v1:mireya_solis:09
c74a8c01-5e6b-4993-8d30-9e6b5136225b,queued,Mireya Solis,mireya_solis,10,grocery_tote_walk,hassakuXLIllustrious_v34.safetensors,"[{""filename"": ""Okaze.safetensors"", ""strength"": 0.5, ""category"": ""style""}, {""filename"": ""DetailedEyes_V3.safetensors"", ""strength"": 0.43, ""category"": ""eyes""}]",31919110,33,5.45,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, everyday sensual editorial, tasteful adult allure, non-graphic sensuality, refined facial features, luminous skin, casual lifestyle glamour, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, walking home with a grocery tote, fitted sundress and flat sandals, golden-hour sidewalk light, shoulder strap pull, effortless neighborhood glamour","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_daily_allure_newwomen_20260319_v1 | Mireya Solis | scene 10 | grocery_tote_walk,hf_queuecreator_daily_allure_newwomen_20260319_v1:mireya_solis:10
f8583206-7ae6-41dc-8d29-f525b9ebcc31,queued,Mireya Solis,mireya_solis,11,hallway_keys_home,hassakuXLIllustrious_v34.safetensors,"[{""filename"": ""Okaze.safetensors"", ""strength"": 0.52, ""category"": ""style""}, {""filename"": ""Face_Enhancer_Illustrious.safetensors"", ""strength"": 0.35, ""category"": ""style""}]",31919111,33,5.5,euler_ancestral,normal,2,832x1216,"masterpiece, best quality, original character, adult woman, solo, everyday sensual editorial, tasteful adult allure, non-graphic sensuality, refined facial features, luminous skin, casual lifestyle glamour, cinematic fashion photography, bronzed latina beauty, chestnut waves, honey-brown eyes, sculpted cheekbones, polished modern glamour, apartment hallway arriving home, knit bodycon dress, keys in hand, over-the-shoulder glance, narrow corridor lighting, soft tension in a normal moment","child, teen, underage, school uniform, text, logo, watermark, blurry, lowres, deformed, bad anatomy, extra fingers, duplicate, poorly drawn hands, explicit nudity, graphic sexual content",hf_queuecreator_daily_allure_newwomen_20260319_v1 | Mireya Solis | scene 11 | hallway_keys_home,hf_queuecreator_daily_allure_newwomen_20260319_v1:mireya_solis:11
